ID	Type	Cluster representative	Virus Species	Host Species
SRR10035636_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035637_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035638_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035642_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035643_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035644_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035645_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035646_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035648_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035649_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035650_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035653_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035657_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035661_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035662_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035663_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035664_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035665_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035666_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035667_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035668_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035669_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035670_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035671_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035672_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035673_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035674_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035675_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035676_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035677_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035678_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035679_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035680_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035682_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035683_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035684_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035685_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035686_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035687_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035688_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035689_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035690_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035691_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035692_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035693_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035694_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035698_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035705_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035706_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035707_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035708_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035709_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035710_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035711_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035714_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035715_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035716_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035717_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035718_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035719_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035720_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035721_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035722_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035723_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035724_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035725_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035726_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035727_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035728_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035729_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035730_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035731_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035732_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035733_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035734_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035735_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035736_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035737_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035739_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035740_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035741_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035742_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035743_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035744_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035745_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035749_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035750_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035751_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035752_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035753_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035754_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035755_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035756_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035757_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035758_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035759_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035761_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035762_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035765_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035766_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035767_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035768_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035769_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035770_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035771_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035772_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035773_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035774_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035775_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035776_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035777_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035778_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035780_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035781_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035782_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035783_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035784_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035785_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035786_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035787_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035788_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035789_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035790_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035791_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035792_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035793_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035794_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035795_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035796_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035797_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035798_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035799_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035800_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035801_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035802_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035803_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035804_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035805_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035806_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035807_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035808_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035809_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035810_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035811_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035812_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035813_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035814_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035815_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035816_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035817_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035819_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035820_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035821_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035822_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035823_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035824_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035825_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035826_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035827_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035828_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035829_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035830_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035831_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035832_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10035833_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10828016_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10828017_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10828018_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10828019_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10960115_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10960116_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10960117_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10960118_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10960121_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR10960122_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR1177795_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR12265897_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR12265898_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134606_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134607_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134608_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134609_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134610_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134611_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134612_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134613_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134614_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134615_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134616_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134617_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134618_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134619_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134620_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR14134621_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195898_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195899_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195900_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195901_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195902_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195903_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195904_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195905_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195906_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195907_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195908_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15195909_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15211878_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15211880_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15211896_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR15602317_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR2839844_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR4425245_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR4425250_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR4425251_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR4425261_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184094_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184095_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184096_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184098_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184099_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184100_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184102_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184103_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184104_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184105_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184106_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184107_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184108_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5184109_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR5273328_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894599_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894600_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894601_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894603_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894606_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894607_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894611_pg_nr1	Patched	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894613_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR7894616_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493699_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493700_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493705_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493706_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493711_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493712_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493715_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493716_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493717_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493718_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493719_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8493720_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8910706_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8910707_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8910708_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8910709_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8910710_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8910712_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8943694_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8943695_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8943696_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8943697_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8943698_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR8943699_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
WUR22 ERR912203_complete_1	Complete	WUR22 ERR912203_complete_1	Iflavirus	Bombyx mori
SRR11993450_complete_2	Complete	WUR23 SRR11993448_complete_2	Iflavirus	Bombyx mori
SRR11993451_complete_2	Complete	WUR23 SRR11993448_complete_2	Iflavirus	Bombyx mori
SRR11993452_complete_2	Complete	WUR23 SRR11993448_complete_2	Iflavirus	Bombyx mori
SRR13587373_complete_2	Complete	WUR23 SRR11993448_complete_2	Iflavirus	Bombyx mori
SRR1928169_complete_1	Complete	WUR23 SRR11993448_complete_2	Iflavirus	Bombyx mori
WUR23 SRR11993448_complete_2	Complete	WUR23 SRR11993448_complete_2	Iflavirus	Bombyx mori
SRR14760025_complete_1	Complete	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR14760026_pg_nr1	Patched	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR14760027_complete_1	Complete	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR14760028_complete_1	Complete	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR14760029_complete_1	Complete	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR9313759_pg_nr1	Patched	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR9313760_pg_nr1	Patched	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR9313762_pg_nr1	Patched	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR9313763_pg_nr1	Patched	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR9313764_pg_nr1	Patched	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
SRR9313766_pg_nr1	Patched	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
WUR24 SRR14760024_complete_1	Complete	WUR24 SRR14760024_complete_1	Iflavirus	Bombyx mori
DRR395448_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395449_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395450_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395451_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395452_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395453_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395454_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395455_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395457_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395458_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395459_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395460_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
DRR395461_pg_nr1	Patched	WUR25 DRR395462_complete_1	Iflavirus	Bombyx mori
